18,9,25,4,22,21,10,5,12,24,6,23,8,3,11,16,14,20,1,17,7,2,19,15,13
15,3,14,24,1,13,11,6,23,22,19,12,18,17,7,9,21,2,4,8,5,20,25,10,16
11,2,21,20,17,1,15,4,18,19,5,9,16,10,25,23,13,7,22,24,12,8,14,6,3
10,8,7,12,16,2,3,20,25,14,22,13,21,24,4,6,5,19,15,18,1,11,23,17,9
6,13,5,23,19,16,17,9,8,7,2,14,20,15,1,3,10,25,12,11,18,21,24,22,4
19,10,15,16,21,11,14,1,20,18,9,3,25,12,17,7,24,4,8,6,23,22,2,13,5
23,21,9,2,10,25,22,18,7,20,4,15,12,19,14,11,8,16,24,1,17,3,13,5,6
20,11,1,14,3,10,24,13,4,8,16,6,23,2,19,5,15,22,17,9,25,7,12,21,18
21,12,11,9,14,3,13,17,5,4,25,20,24,22,18,2,1,6,16,10,19,23,15,8,7
16,4,6,7,24,17,9,8,3,21,15,10,2,25,5,19,23,11,14,12,13,18,22,20,1
25,17,18,21,9,6,12,23,16,1,7,11,10,8,24,15,4,13,19,3,22,5,20,2,14
3,7,8,13,12,18,4,22,11,23,21,25,6,9,15,14,2,24,20,5,16,19,17,1,10
2,19,24,5,20,12,18,10,6,25,11,16,14,23,13,17,22,1,7,15,21,9,4,3,8
4,18,23,22,6,19,1,12,9,16,3,24,17,13,20,21,25,15,5,2,14,10,8,7,11
22,23,16,6,2,8,25,3,17,9,1,19,4,14,10,20,7,18,13,21,11,24,5,12,15
5,1,4,3,13,7,21,19,14,15,24,8,11,20,9,25,17,12,23,22,10,16,6,18,2
24,14,10,25,4,23,6,21,15,5,20,18,7,1,8,22,16,3,9,13,2,12,11,19,17
7,25,19,11,15,20,8,24,10,13,23,4,9,5,22,18,6,21,2,14,3,17,1,16,12
9,5,17,15,23,4,2,14,19,11,13,7,3,21,12,1,20,8,10,16,24,6,18,25,22
13,6,2,17,7,9,20,16,1,10,12,5,22,18,23,8,19,14,3,25,4,15,21,11,24
17,15,22,8,11,5,16,2,21,6,18,1,13,7,3,24,12,9,25,19,20,14,10,4,23
12,24,20,18,5,15,19,11,2,3,14,22,1,6,16,10,9,17,21,4,8,13,7,23,25
1,16,12,10,25,24,23,15,22,2,8,17,19,11,21,13,18,5,6,7,9,4,3,14,20
14,20,3,1,8,22,5,7,13,12,17,21,15,16,2,4,11,10,18,23,6,25,9,24,19
8,22,13,19,18,14,7,25,24,17,10,2,5,4,6,12,3,23,11,20,15,1,16,9,21
7,24,20,12,11,14,9,10,3,22,17,19,23,15,21,2,8,13,5,6,18,25,4,16,1
6,15,19,14,10,8,7,4,25,5,16,22,11,3,2,1,18,9,24,20,17,21,12,23,13
23,1,25,5,2,24,16,15,17,18,10,12,13,9,6,4,11,14,19,21,8,7,3,22,20
17,3,22,16,8,19,21,13,11,23,4,20,14,1,18,12,25,15,7,10,9,2,6,5,24
9,4,18,21,13,2,20,1,12,6,8,5,25,7,24,23,22,16,17,3,14,15,11,19,10
8,20,9,1,14,22,12,2,5,3,15,25,21,23,13,18,4,6,16,19,24,10,17,11,7
13,11,2,19,22,17,4,3,14,8,7,1,5,16,15,25,10,23,21,24,6,9,18,20,12
12,25,4,22,19,1,2,5,24,11,13,7,10,21,3,15,9,8,6,14,20,16,23,18,17
14,18,15,8,9,16,3,23,1,19,2,6,20,4,7,10,13,17,12,11,21,5,24,25,22
20,17,10,15,6,7,11,18,9,4,22,14,8,24,25,5,1,21,23,2,3,13,16,12,19
21,22,8,24,3,15,14,6,13,7,18,16,2,17,23,20,19,1,25,12,4,11,10,9,5
22,16,23,20,24,5,10,21,6,25,1,13,12,11,19,17,3,18,2,8,15,14,9,7,4
18,2,12,7,1,25,24,17,19,10,5,15,3,20,22,8,16,4,13,9,11,23,14,6,21
3,8,21,23,25,13,19,16,2,20,6,17,18,5,11,24,12,10,14,7,1,4,22,15,9
10,9,11,2,7,6,13,19,15,12,3,4,16,8,5,22,14,24,20,25,23,1,21,17,18
24,19,5,4,17,3,22,7,16,9,23,11,6,2,14,21,20,25,1,13,12,18,8,10,15
19,13,17,6,20,21,23,14,4,16,24,9,1,12,10,11,5,7,18,22,25,3,15,2,8
5,10,1,13,16,4,25,11,8,24,19,23,17,18,9,6,7,3,22,15,2,12,20,21,14
1,6,14,17,12,9,18,24,7,2,25,21,15,10,20,13,23,11,3,4,22,19,5,8,16
11,21,13,9,18,20,15,25,10,17,14,8,19,22,16,3,2,12,4,23,5,24,7,1,6
4,12,16,3,23,10,5,8,22,15,11,18,24,19,17,14,21,20,9,1,7,6,2,13,25
2,14,7,11,15,12,17,9,21,13,20,24,4,25,8,19,6,5,10,18,16,22,1,3,23
15,7,3,25,21,23,1,20,18,14,12,10,9,6,4,16,17,22,11,5,19,8,13,24,2
16,5,24,18,4,11,6,22,23,1,21,2,7,13,12,9,15,19,8,17,10,20,25,14,3
25,23,6,10,5,18,8,12,20,21,9,3,22,14,1,7,24,2,15,16,13,17,19,4,11
